vid_title,artist_name,lp_name,score,genre,order_of_reviews
The Smashing Pumpkins - ATUM (A Rock Opera in 3 Acts) ALBUM REVIEW,The Smashing Pumpkins,ATUM (A Rock Opera in 3 Acts),3,"ALT ROCK, SYNTHPOP, AOR",957
Conway the Machine - Won't He Do It ALBUM REVIEW,Conway the Machine,Won't He Do It,5,EAST COAST HIP HOP,956
billy woods & Kenny Segal - Maps ALBUM REVIEW,billy woods & Kenny Segal,Maps,8,ABSTRACT HIP HOP,955
Ed Sheeran - Subtract ALBUM REVIEW,Ed Sheeran,Subtract,5,POP SINGER-SONGWRITER,954
Destroy Lonely - If Looks Could Kill ALBUM REVIEW,Destroy Lonely,If Looks Could Kill,1,RAGE,953
Indigo De Souza - All of This Will End ALBUM REVIEW,Indigo De Souza,All of This Will End,6,INDIE ROCK,952
The National - First Two Pages of Frankenstein ALBUM REVIEW,The National,First Two Pages of Frankenstein,2,DRAB ROCK,951
Jessie Ware - That! Feels Good! ALBUM REVIEW,Jessie Ware,That! Feels Good!,8,"DANCE POP, DISCO",950
Jack Harlow - Jackman ALBUM REVIEW,Jack Harlow,Jackman,5,HIP HOP,949
Portrayal of Guilt - Devil Music ALBUM REVIEW,Portrayal of Guilt,Devil Music,7,"BLACK METAL, CHAMBER MUSIC",948
HMLTD - The Worm ALBUM REVIEW,HMLTD,The Worm,4,"ROCK OPERA, PROG",947
Depeche Mode - Memento Mori ALBUM REVIEW,Depeche Mode,Memento Mori,7,"SYNTHPOP, DARKWAVE, ELECTRO-INDUSTRIAL",946
Frost Children - Speed Run ALBUM REVIEW,Frost Children,Speed Run,7,HYPERPOP,945
Metallica - 72 Seasons ALBUM REVIEW,Metallica,72 Seasons,5,THRASH METAL,944
Liturgy - 93696 ALBUM REVIEW,Liturgy,93696,9,LITURGY,943
Rae Sremmurd - Sremm 4 Life ALBUM REVIEW,Rae Sremmurd,Sremm 4 Life,2,POP RAP,942
tricot - Fudeki ALBUM REVIEW,tricot,Fudeki,7,MATH ROCK,941
The HIRS Collective - We're Still Here ALBUM REVIEW,The HIRS Collective,We're Still Here,8,QUEERCORE,940
boygenius - the record ALBUM REVIEW,boygenius,the record,7,"SINGER-SONGWRITER, INDIE ROCK",939
Navy Blue - Ways of Knowing ALBUM REVIEW,Navy Blue,Ways of Knowing,8,ABSTRACT HIP HOP,938
Larry June & The Alchemist - The Great Escape ALBUM REVIEW,Larry June & The Alchemist,The Great Escape,4,WEST COAST HIP HOP,937
JPEGMAFIA x Danny Brown - Scaring the Hoes ALBUM REVIEW,JPEGMAFIA x Danny Brown,Scaring the Hoes,9,SOME OF THE WILDEST HIP HOP YOU'LL EVER HEAR,936
Fall Out Boy - So Much (for) Stardust ALBUM REVIEW,Fall Out Boy,So Much (for) Stardust,3,"POP PUNK, SYMPHONIC ROCK",935
"Black Country, New Road - Live at Bush Hall ALBUM REVIEW","Black Country, New Road",Live at Bush Hall,7,CHAMBER ROCK,934
M83 - Fantasy ALBUM REVIEW,M83,Fantasy,5,"DREAM POP, INDIETRONIC",933
"100 gecs - 10,000 gecs ALBUM REVIEW",100 gecs,"10,000 gecs",8,"ALTERNATIVE ROCK, HYPERPOP, SKA PUNK",932
Miley Cyrus - Endless Summer Vacation ALBUM REVIEW,Miley Cyrus,Endless Summer Vacation,4,POP,931
Fever Ray - Radical Romantics ALBUM REVIEW,Fever Ray,Radical Romantics,7,SYNTHPOP,930
Macklemore - Ben ALBUM REVIEW,Macklemore,Ben,2,"CONSCIOUS HIP HOP BUT HARDLY, MILLENNIAL POP",929
Xiu Xiu - Ignore Grief ALBUM REVIEW,Xiu Xiu,Ignore Grief,6,"INDUSTRIAL, MODERN CLASSICAL",928
Kali Uchis - Red Moon in Venus ALBUM REVIEW,Kali Uchis,Red Moon in Venus,7,"NEO-SOUL, R&B",927
shame - Food for Worms ALBUM REVIEW,shame,Food for Worms,7,"POST-PUNK, INDIE ROCK",926
Don Toliver - Love Sick ALBUM REVIEW,Don Toliver,Love Sick,5,"R&B, PSYCHEDELIC TRAP",925
slowthai - UGLY ALBUM REVIEW,slowthai,UGLY,8,"POST-PUNK, ALTERNATIVE HIP HOP",924
Logic - College Park ALBUM REVIEW,Logic,College Park,5,HIP HOP,923
Model/Actriz - Dogsbody ALBUM REVIEW,Model/Actriz,Dogsbody,8,"NOISE ROCK, DANCE-PUNK, NO WAVE",922
Gorillaz - Cracker Island ALBUM REVIEW,Gorillaz,Cracker Island,6,SYNTHPOP,921
Yeat - Aftërlyfe ALBUM REVIEW,Yeat,Aftërlyfe,7,OUTLANDISH RAGE,920
Liv.e - Girl in the Half Pearl ALBUM REVIEW,Liv.e,Girl in the Half Pearl,5,EXPERIMENTAL R&B,919
Skrillex - Quest for Fire ALBUM REVIEW,Skrillex,Quest for Fire,7,"EDM, TRAP, DUBSTEP",918
Skrillex - Don't Get Too Close ALBUM REVIEW,Skrillex,Don't Get Too Close,3,"POP, TRAP, EDM",917
"Caroline Polachek - Desire, I Want to Turn Into You ALBUM REVIEW",Caroline Polachek,"Desire, I Want to Turn Into You",8,ART POP,916
Flume - Things Don't Always Go the Way You Plan ,Flume,Things Don't Always Go the Way You Plan ,5,"WONKY, FUTURE BASS",915
Kelela - Raven ALBUM REVIEW,Kelela,Raven,6,AMBIENT R&B,914
Paramore - This Is Why ALBUM REVIEW,Paramore,This Is Why,8,POST-PUNK REVIVAL,913
Young Fathers - Heavy Heavy ALBUM REVIEW,Young Fathers,Heavy Heavy,7,"NEO-PSYCH, EXPERIMENTAL POP",912
Sam Smith - Gloria ALBUM REVIEW,Sam Smith,Gloria,5,POP,911
Parannoul - After the Magic ALBUM REVIEW,Parannoul,After the Magic,8,"SHOEGAZE, POST-ROCK, NOISE POP",910
JIMMY - *GHETTOLAND ALBUM REVIEW,JIMMY,*GHETTOLAND,6,ALTERNATIVE HIP HOP,909
Lil Yachty - Let's Start Here. ALBUM REVIEW,Lil Yachty,Let's Start Here.,7,PSYCH WOCK,908
Trippie Redd - Mansion Musik ALBUM REVIEW,Trippie Redd,Mansion Musik,5,"TRAP RAP, RAGE",907
Mac DeMarco - Five Easy Hot Dogs ALBUM REVIEW,Mac DeMarco,Five Easy Hot Dogs,3,SOFT INSTRUMENTAL ROCK,906
Måneskin - Rush! ALBUM REVIEW,Måneskin,Rush!,2,"ALT ROCK, POP ROCK",905
Ice Spice - Like..? EP REVIEW,Ice Spice,Like..?,5,NEW YORK DRILL,904
Sematary - Butcher House ,Sematary,Butcher House ,6,"HORRORCORE, CHICAGO DRILL, NOISE RAP, TRAP METAL",903
Ab-Soul - Herbert ALBUM REVIEW,Ab-Soul,Herbert,6,"WEST COAST HIP HOP, INTROSPECTIVE RAPS",902
Weezer - SZNZ: Winter EP REVIEW,Weezer,SZNZ: Winter,7,"ALT ROCK, POWER POP",901
Mac Miller - Swimming REDUX REVIEW,Mac Miller,Swimming,8,"ALTERNATIVE HIP HOP, NEO-SOUL",900
Ka - Languish Arts / Woeful Studies ALBUM REVIEW,Ka,Languish Arts / Woeful Studies,7,"CONSCIOUS HIP HOP, DRUMLESS",899
Little Simz - NO THANK YOU ALBUM REVIEW,Little Simz,NO THANK YOU,7,"CONSCIOUS HIP HOP, NEO-SOUL",898
SZA - SOS ALBUM REVIEW,SZA,SOS,8,"R&B, POP RAP",897
brakence - hypochondriac ALBUM REVIEW,brakence,hypochondriac,5,"EMO RAP, GLITCH POP",896
Adeem the Artist - White Trash Revelry ALBUM REVIEW,Adeem the Artist,White Trash Revelry,8,"SINGER-SONGWRITER, ALTERNATIVE COUNTRY",895
Metro Boomin - Heroes & Villains ALBUM REVIEW,Metro Boomin,Heroes & Villains,7,TRAP RAP,894
Gilla Band - Most Normal ALBUM REVIEW,Gilla Band,Most Normal,5,"NOISE ROCK, POST-PUNK",893
Show Me the Body - Trouble the Water ALBUM REVIEW,Show Me the Body,Trouble the Water,5,"NOISE ROCK, POST-HARDCORE, SYNTH PUNK",892
Fred again.. - Actual Life 3 ALBUM REVIEW,Fred again..,Actual Life 3,6,"HOUSE, UK GARAGE",891
Stormzy - This Is What I Mean ALBUM REVIEW,Stormzy,This Is What I Mean,6,"UK HIP HOP, POP RAP, R&B",890
Polyphia - Remember That You Will Die ALBUM REVIEW,Polyphia,Remember That You Will Die,5,"MATH ROCK, EDM",889
Richard Dawson - The Ruby Cord ALBUM REVIEW,Richard Dawson,The Ruby Cord,8,PROGRESSIVE FOLK,888
Ashenspire - Hostile Architecture ALBUM REVIEW,Ashenspire,Hostile Architecture,9,AVANT-GARDE METAL,887
"Weyes Blood - And in the Darkness, Hearts Aglow ALBUM REVIEW",Weyes Blood,"And in the Darkness, Hearts Aglow",7,BAROQUE POP,886
Quadeca - I Didn't Mean to Haunt You ALBUM REVIEW,Quadeca,I Didn't Mean to Haunt You,7,"AMBIENT POP, FOLKTRONIC, EXPERIMENTAL HIP HOP",885
MGMT - 11​•​11​•​11 ALBUM REVIEW,MGMT,11​•​11​•​11,4,"NEO-PSYCH, SPACE ROCK, INDIETRONIC",884
Nas - King's Disease III ALBUM REVIEW,Nas,King's Disease III,8,EAST COAST HIP HOP,883
Drake & 21 Savage - Her Loss ALBUM REVIEW,Drake & 21 Savage,Her Loss,6,"TRAP RAP, R&B",882
Joji - SMITHEREENS ALBUM REVIEW,Joji,SMITHEREENS,4,ALTERNATIVE R&B,881
Natalia Lafourcade - De Todas las Flores ALBUM REVIEW,Natalia Lafourcade,De Todas las Flores,9,"SINGER-SONGWRITER, CHAMBER FOLK",880
Smino - Luv 4 Rent ALBUM REVIEW,Smino,Luv 4 Rent,8,"RAP, R&B, NEO-SOUL",879
BabyTron - Bin Reaper 3: Old Testament ALBUM REVIEW,BabyTron,Bin Reaper 3: Old Testament,7,DETROIT TRAP,878
Taylor Swift - Midnights ALBUM REVIEW,Taylor Swift,Midnights,5,SYNTHPOP,877
Arctic Monkeys - The Car ALBUM REVIEW,Arctic Monkeys,The Car,3,"BAROQUE POP, GLAM ROCK",876
The 1975 - Being Funny in a Foreign Language ALBUM REVIEW,The 1975,Being Funny in a Foreign Language,7,POP ROCK,875
Lil Baby - It's Only Me ALBUM REVIEW,Lil Baby,It's Only Me,4,TRAP RAP,874
Red Hot Chili Peppers - Return of the Dream Canteen ALBUM REVIEW,Red Hot Chili Peppers,Return of the Dream Canteen,6,"ALTERNATIVE ROCK, PSYCH FUNK",873
Autopsy - Morbidity Triumphant ALBUM REVIEW,Autopsy,Morbidity Triumphant,8,DEATH METAL,872
M.I.A. - MATA ALBUM REVIEW,M.I.A.,MATA,5,"EXPERIMENTAL HIP HOP, CROSS-CULTURAL MUSIC",871
"Slipknot - The End, So Far ALBUM REVIEW",Slipknot,"The End, So Far",4,ALTERNATIVE METAL,870
Jean Dawson - CHAOS NOW* ALBUM REVIEW,Jean Dawson,CHAOS NOW*,7,"INDIE ROCK, ALTERNATIVE HIP HOP",869
Alvvays - Blue Rev ALBUM REVIEW,Alvvays,Blue Rev,7,"INDIE POP, SHOEGAZE",868
billy woods x Messiah Musik - Church ALBUM REVIEW,billy woods x Messiah Musik,Church,5,ABSTRACT HIP HOP,867
Freddie Gibbs - $oul $old $eparately ALBUM REVIEW,Freddie Gibbs,$oul $old $eparately,8,"GANGSTA RAP, POP RAP",866
Bladee - Spiderr ALBUM REVIEW,Bladee,Spiderr,7,"EXPERIMENTAL HIP HOP, AMBIENT POP, DIGITAL HARDCORE",865
Yeah Yeah Yeahs - Cool It Down ALBUM REVIEW,Yeah Yeah Yeahs,Cool It Down,5,INDIE ROCK,864
Kid Cudi - Entergalactic ALBUM REVIEW,Kid Cudi,Entergalactic,6,"PSYCHEDELIC TRAP, R&B",863
OFF! - Free LSD ALBUM REVIEW,OFF!,Free LSD,8,"HARDCORE PUNK, HEAVY PSYCH, CONSPIRATORIAL SLUDGE PUNK",862
Björk - Fossora ALBUM REVIEW,Björk,Fossora,5,"ART POP, CHAMBER MUSIC, GABBER, CHORAL",861
Lucki - Flawless Like Me ALBUM REVIEW,Lucki,Flawless Like Me,1,TRAP RAP,860
Weezer - SZNZ: Autumn EP REVIEW,Weezer,SZNZ: Autumn,4,"POWER POP, ALT ROCK",859
Preoccupations - Arrangements ALBUM REVIEW,Preoccupations,Arrangements,6,"POST-PUNK, SHOEGAZE",858
Sudan Archives - Natural Brown Prom Queen ALBUM REVIEW,Sudan Archives,Natural Brown Prom Queen,8,"ALTERNATIVE R&B, RAP, ART POP",857
Rina Sawayama - Hold the Girl ALBUM REVIEW,Rina Sawayama,Hold the Girl,5,ALTERNATIVE POP,856
The Mars Volta - The Mars Volta ALBUM REVIEW,The Mars Volta,The Mars Volta,6,"PROGRESSIVE POP, LATIN ROCK, INDIETRONIC",855
Ari Lennox - age/sex/location ALBUM REVIEW,Ari Lennox,age/sex/location,8,"NEO-SOUL, R&B",854
The Garden - Horsespit on Route 66 ALBUM REVIEW,The Garden,Horsespit on Route 66,7,"VADA VADA, BIZARRO PUNK",853
Yeat - Lyfë ,Yeat,Lyfë ,4,RAGE,852
Jockstrap - I Love You Jennifer B ALBUM REVIEW,Jockstrap,I Love You Jennifer B,8,"PROGRESSIVE POP, INDIETRONIC",851
NAV - Demons Protected by Angels ALBUM REVIEW,NAV,Demons Protected by Angels,4,TRAP RAP,850
"Megadeth - The Sick, the Dying… and the Dead! ALBUM REVIEW",Megadeth,"The Sick, the Dying… and the Dead!",3,THRASH METAL,849
Ghais Guevara - There Will Be No Super-Slave ALBUM REVIEW,Ghais Guevara,There Will Be No Super-Slave,7,UNDERGROUND HIP HOP,848
Kenny Beats - Louie ALBUM REVIEW,Kenny Beats,Louie,8,INSTRUMENTAL HIP HOP,847
J.I.D - The Forever Story ALBUM REVIEW,J.I.D,The Forever Story,9,HIP HOP,846
DJ Khaled - God Did ALBUM REVIEW,DJ Khaled,God Did,4,POP RAP,845
Brent Faiyaz - Wasteland ALBUM REVIEW,Brent Faiyaz,Wasteland,5,"R&B, NEO-SOUL",844
Boris - Heavy Rocks (2022) ALBUM REVIEW,Boris,Heavy Rocks (2022),7,"NOISE ROCK, SLUDGE METAL",843
Black Thought & Danger Mouse - Cheat Codes ALBUM REVIEW,Black Thought & Danger Mouse,Cheat Codes,8,CONSCIOUS HIP HOP,842
Destroy Lonely - NO STYLIST ALBUM REVIEW,Destroy Lonely,NO STYLIST,1,TRAP RAP,841
beabadoobee - Beatopia ALBUM REVIEW,beabadoobee,Beatopia,7,"ALT ROCK, INDIE POP",840
Meridian Brothers - Meridian Brothers & El Grupo Renacimiento ALBUM REVIEW,Meridian Brothers,Meridian Brothers & El Grupo Renacimiento,8,FREAK SALSA,839
DOMi & JD Beck - NOT TiGHT ALBUM REVIEW,DOMi & JD Beck,NOT TiGHT,7,"NU-JAZZ, NEO-SOUL",838
Beyoncé - Renaissance ALBUM REVIEW,Beyoncé,Renaissance,8,"DANCE POP, R&B, HIP HOUSE",837
Lil Uzi Vert - Red & White 🔴 ⚪ EP REVIEW,Lil Uzi Vert,Red & White 🔴 ⚪,6,TRAP RAP,836
Chat Pile - God's Country ALBUM REVIEW,Chat Pile,God's Country,8,"NOISE ROCK, SLUDGE METAL",835
Rico Nasty - Las Ruinas ,Rico Nasty,Las Ruinas ,3,ALTERNATIVE HIP HOP,834
Joey Bada$$ - 2000 ALBUM REVIEW,Joey Bada$$,2000,7,EAST COAST HIP HOP,833
black midi - Hellfire ALBUM REVIEW,black midi,Hellfire,9,"AVANT-PROG, JAZZ ROCK",832
Steve Lacy - Gemini Rights ALBUM REVIEW,Steve Lacy,Gemini Rights,7,BEDROOM SOUL,831
Lizzo - Special ALBUM REVIEW,Lizzo,Special,6,"R&B, DANCE POP, POP RAP",830
Metric - Formentera ALBUM REVIEW,Metric,Formentera,7,"INDIE ROCK, ALTERNATIVE DANCE",829
"Westside Gunn - Peace ""Fly"" God ",Westside Gunn,"Peace ""Fly"" God ",5,"COKE RAP, DRUMLESS",828
Wormrot - Hiss ALBUM REVIEW,Wormrot,Hiss,8,GRINDCORE,827
Ken Carson - X ALBUM REVIEW,Ken Carson,X,0,"TRAP RAP, ""RAGE""",826
Viagra Boys - Cave World ALBUM REVIEW,Viagra Boys,Cave World,9,DANCE-PUNK,825
Zola Jesus - Arkhon ALBUM REVIEW,Zola Jesus,Arkhon,7,DARKWAVE,824
Leikeli47 - Shape Up ALBUM REVIEW,Leikeli47,Shape Up,8,"ALTERNATIVE HIP HOP, BANGERS",823
Lupe Fiasco - Drill Music in Zion ALBUM REVIEW,Lupe Fiasco,Drill Music in Zion,8,CONSCIOUS HIP HOP,822
Petrol Girls - Baby ALBUM REVIEW,Petrol Girls,Baby,9,"POST-HARDCORE, RIOT GRRRL",821
Perfume Genius - Ugly Season ALBUM REVIEW,Perfume Genius,Ugly Season,7,"AVANT-POP, CONTEMPORARY CLASSICAL",820
Logic - Vinyl Days ALBUM REVIEW,Logic,Vinyl Days,7,EAST COAST HIP HOP,819
Ethel Cain - Preacher's Daughter ALBUM REVIEW,Ethel Cain,Preacher's Daughter,6,"SINGER-SONGWRITER, SLOWCORE, GOTHIC AMERICANA, DREAM POP",818
Destroyer - Labyrinthitis ALBUM REVIEW,Destroyer,Labyrinthitis,6,"NEW WAVE, SOPHISTI-POP, INDIE ROCK",817
Artificial Brain - Self-Titled ALBUM REVIEW,Artificial Brain,Self-Titled,8,FUTURISTIC DEATH METAL,816
Post Malone - Twelve Carat Toothache ALBUM REVIEW,Post Malone,Twelve Carat Toothache,3,"POP, EMO TRAP, REVERB",815
Angel Olsen - Big Time ALBUM REVIEW,Angel Olsen,Big Time,7,"SINGER-SONGWRITER, COUNTRY, TRADITIONAL POP",814
Gospel - The Loser ALBUM REVIEW,Gospel,The Loser,8,"POST-HARDCORE, PROG, SCREAMO",813
Bad Bunny - Un Verano Sin Ti ALBUM REVIEW,Bad Bunny,Un Verano Sin Ti,6,"REGGAETON, LATIN POP",812
Flume - Palaces ALBUM REVIEW,Flume,Palaces,6,"EDM, FUTURE BASS, TRAP",811
Harry Styles - Harry's House ALBUM REVIEW,Harry Styles,Harry's House,6,"INDIE POP, SOFT ROCK",810
Florence + the Machine - Dance Fever ALBUM REVIEW,Florence + the Machine,Dance Fever,7,"POP ROCK, CHAMBER POP",809
The Smile - A Light for Attracting Attention ALBUM REVIEW,The Smile,A Light for Attracting Attention,7,ART ROCK,808
Kendrick Lamar - Mr. Morale & The Big Steppers ALBUM REVIEW,Kendrick Lamar,Mr. Morale & The Big Steppers,8,PGLANG,807
Otoboke Beaver - Super Champon ALBUM REVIEW,Otoboke Beaver,Super Champon,8,"HARDCORE, GARAGE PUNK",806
Jack Harlow - Come Home The Kids Miss You ALBUM REVIEW,Jack Harlow,Come Home The Kids Miss You,3,POP RAP,805
Arcade Fire - We ALBUM REVIEW,Arcade Fire,We,4,INDIE ROCK,804
Rammstein - Zeit ALBUM REVIEW,Rammstein,Zeit,6,ALTERNATIVE METAL,803
Future - I Never Liked You ALBUM REVIEW,Future,I Never Liked You,5,TRAP RAP,802
Spiritualized - Everything Was Beautiful ALBUM REVIEW,Spiritualized,Everything Was Beautiful,8,"SPACE ROCK, NEO-PSYCH, DREAM POP",801
King Gizzard & The Lizard Wizard - Omnium Gatherum ALBUM REVIEW,King Gizzard & The Lizard Wizard,Omnium Gatherum,6,PSYCH ROCK,800
Pusha T - It's Almost Dry ALBUM REVIEW,Pusha T,It's Almost Dry,8,"COKE RAP, ALTERNATIVE HIP HOP",799
Daniel Rossen - You Belong There ALBUM REVIEW,Daniel Rossen,You Belong There,8,"CHAMBER FOLK, SINGER-SONGWRITER",798
Orville Peck - Bronco ALBUM REVIEW,Orville Peck,Bronco,7,ALTERNATIVE COUNTRY,797
Vince Staples - Ramona Park Broke My Heart ALBUM REVIEW,Vince Staples,Ramona Park Broke My Heart,6,WEST COAST HIP HOP,796
billy woods - Aethiopes ALBUM REVIEW,billy woods,Aethiopes,8,ABSTRACT HIP HOP,795
Yung Lean - Stardust ,Yung Lean,Stardust ,5,CLOUD RAP,794
Kilo Kish - American Gurl ALBUM REVIEW,Kilo Kish,American Gurl,8,ELECTROPOP,793
PUP - The Unraveling of PUPTheBand ALBUM REVIEW,PUP,The Unraveling of PUPTheBand,6,PUNK ROCK,792
Red Hot Chili Peppers - Unlimited Love ALBUM REVIEW,Red Hot Chili Peppers,Unlimited Love,4,FUNK ROCK,791
Dreamville - D-Day ,Dreamville,D-Day ,7,"HIP HOP, TRAP RAP",790
Playboi Carti - Whole Lotta Red REDUX REVIEW,Playboi Carti,Whole Lotta Red,5,"EXPERIMENTAL HIP HOP, VAMP TRAP, TREAD PUNK",789
Denzel Curry - Melt My Eyez See Your Future ALBUM REVIEW,Denzel Curry,Melt My Eyez See Your Future,8,"CONSCIOUS HIP HOP, JAZZ & PSYCH RAP",788
Soul Glo - Diaspora Problems ALBUM REVIEW,Soul Glo,Diaspora Problems,9,"HARDCORE, PUNK RAP, SCREAMO",787
Machine Gun Kelly - Mainstream Sellout ALBUM REVIEW,Machine Gun Kelly,Mainstream Sellout,1,POP PUNK,786
Bladee & Ecco2k - Crest ALBUM REVIEW,Bladee & Ecco2k,Crest,8,ETHEREAL POP,785
Rosalía - Motomami ALBUM REVIEW,Rosalía,Motomami,7,"LATIN POP, AVANT-REGGAETON",784
Charli XCX - Crash ALBUM REVIEW,Charli XCX,Crash,5,DANCE POP,783
Weezer - SZNZ: Spring EP REVIEW,Weezer,SZNZ: Spring,5,"POWER POP, ALT ROCK",782
Benny the Butcher - Tana Talk 4 ALBUM REVIEW,Benny the Butcher,Tana Talk 4,8,"EAST COAST HIP HOP, COKE RAP",781
Rex Orange County - Who Cares? ALBUM REVIEW,Rex Orange County,Who Cares?,7,"INDIE POP, NEO-SOUL",780
Ghost - Impera ALBUM REVIEW,Ghost,Impera,5,"HARD ROCK, GLAM METAL",779
Charlotte Adigéry & Bolis Pupul - Topical Dancer ALBUM REVIEW,Charlotte Adigéry & Bolis Pupul,Topical Dancer,8,"SYNTHPOP, TECHNO",778
Chief Keef - 4Nem ALBUM REVIEW,Chief Keef,4Nem,7,TRAP RAP,777
EarthGang - Ghetto Gods ALBUM REVIEW,EarthGang,Ghetto Gods,7,"CONSCIOUS HIP HOP, TRAP RAP, NEO-SOUL",776
